pitch_uid,pitch_no,date,pa_of_inning,pitch_of_pa,pitcher_name,pitcher_id,pitcher_throws,pitcher_team_id,pitcher_team_name,batter_name,batter_id,batter_side,batter_team_id,batter_team_name,inning,top_bottom,outs,balls,strikes,pitch_type,pitch_type_abbr,pitch_call,k_or_bb,hit_type,play_result,outs_on_play,runs_scored,rel_speed,spin_rate,spin_axis,rel_height,rel_side,extension,induced_vert_break,horz_break,plate_loc_height,plate_loc_side,vert_appr_angle,horz_appr_angle,exit_speed,launch_angle,distance,catcher_name,catcher_id,home_team_id,home_team_name,away_team_id,away_team_name,game_id,game_type,season,pitch_group,pitch_group_abbr,count_type,is_zone,is_strike,is_swing,pitch_call_prev,pitch_type_prev,pitch_group_prev,pa_id,pa_result,run_value_diff
2024-745850-23,23,3/30/24,1,1,"Hall, DL",669084,Left,MIL,MIL,"Nimmo, Brandon",607043,Left,NYM,NYM,1,Bottom,0,0,0,Fastball,FB,StrikeCalled,NA,NA,NA,NA,0,92.5,1872,146,5.53,-3.13,6.7,14.64,-4.2,2.75,0.33,-4.732393199,3.346364745,NA,NA,NA,661388,661388,NYM,NYM,MIL,MIL,745850,R,2024,Fastball,FB,F-Pitch,TRUE,TRUE,FALSE,NA,NA,NA,745850_1_1_669084_607043,NA,-0.055420604
2024-745850-24,24,3/30/24,1,2,"Hall, DL",669084,Left,MIL,MIL,"Nimmo, Brandon",607043,Left,NYM,NYM,1,Bottom,0,0,1,Fastball,FB,StrikeCalled,NA,NA,NA,NA,0,92.8,2011,148,5.56,-2.98,6.6,15.36,-1.8,1.87,0.08,-5.598475807,3.123180211,NA,NA,NA,661388,661388,NYM,NYM,MIL,MIL,745850,R,2024,Fastball,FB,Early,TRUE,TRUE,FALSE,StrikeCalled,Fastball,Fastball,745850_1_1_669084_607043,NA,-0.075639955
2024-745850-25,25,3/30/24,1,3,"Hall, DL",669084,Left,MIL,MIL,"Nimmo, Brandon",607043,Left,NYM,NYM,1,Bottom,0,0,2,Slider,SL,InPlay,NA,LineDrive,Single,0,0,84.5,2320,298,5.43,-3.09,6.7,2.76,10.8,1.91,1,-7.307278604,5.326372636,65.6,24,191,661388,661388,NYM,NYM,MIL,MIL,745850,R,2024,Breaking Ball,BRK,Two Strikes,FALSE,TRUE,TRUE,StrikeCalled,Fastball,Fastball,745850_1_1_669084_607043,"In Play, Single",0.28546882
2024-745850-26,26,3/30/24,2,1,"Hall, DL",669084,Left,MIL,MIL,"Lindor, Francisco",596019,Right,NYM,NYM,1,Bottom,0,0,0,Fastball,FB,StrikeCalled,NA,NA,NA,NA,0,92.5,2090,158,5.42,-3.3,6.9,14.4,-5.64,3.22,0.09,-4.142962412,3.14596715,NA,NA,NA,661388,661388,NYM,NYM,MIL,MIL,745850,R,2024,Fastball,FB,F-Pitch,TRUE,TRUE,FALSE,NA,NA,NA,745850_1_2_669084_596019,NA,-0.055420604
2024-745850-27,27,3/30/24,2,2,"Hall, DL",669084,Left,MIL,MIL,"Lindor, Francisco",596019,Right,NYM,NYM,1,Bottom,0,0,1,Curveball,CB,StrikeCalled,NA,NA,NA,NA,0,79.1,2388,311,5.63,-3.19,6.8,-15.24,13.08,2.52,-0.3,-8.961957508,4.233744656,NA,NA,NA,661388,661388,NYM,NYM,MIL,MIL,745850,R,2024,Breaking Ball,BRK,Early,TRUE,TRUE,FALSE,StrikeCalled,Fastball,Fastball,745850_1_2_669084_596019,NA,-0.075639955
2024-745850-28,28,3/30/24,2,3,"Hall, DL",669084,Left,MIL,MIL,"Lindor, Francisco",596019,Right,NYM,NYM,1,Bottom,0,0,2,Fastball,FB,InPlay,NA,LineDrive,Out,1,0,92.9,2060,151,5.34,-3.27,6.8,15.24,-3.72,2.75,-0.53,-4.441784101,2.612621205,95.7,8,145,661388,661388,NYM,NYM,MIL,MIL,745850,R,2024,Fastball,FB,Two Strikes,TRUE,TRUE,TRUE,StrikeCalled,Curveball,Breaking Ball,745850_1_2_669084_596019,"In Play, Out",0.425552367
2024-745850-29,29,3/30/24,3,1,"Hall, DL",669084,Left,MIL,MIL,"Alonso, Pete",624413,Right,NYM,NYM,1,Bottom,1,0,0,Curveball,CB,StrikeCalled,NA,NA,NA,NA,0,79.3,2259,318,5.61,-3.33,6.6,-13.68,9.72,2.47,-0.85,-8.838099069,3.498496559,NA,NA,NA,661388,661388,NYM,NYM,MIL,MIL,745850,R,2024,Breaking Ball,BRK,F-Pitch,FALSE,TRUE,FALSE,NA,NA,NA,745850_1_3_669084_624413,NA,-0.055420604
2024-745850-30,30,3/30/24,3,2,"Hall, DL",669084,Left,MIL,MIL,"Alonso, Pete",624413,Right,NYM,NYM,1,Bottom,1,0,1,Fastball,FB,FoulBall,NA,NA,NA,NA,0,92.3,1988,141,5.38,-3.2,6.9,11.52,-7.2,2.03,0.06,-5.623633063,2.868794092,74.9,32,209,661388,661388,NYM,NYM,MIL,MIL,745850,R,2024,Fastball,FB,Early,TRUE,TRUE,TRUE,StrikeCalled,Curveball,Breaking Ball,745850_1_3_669084_624413,NA,-0.075639955
2024-745850-31,31,3/30/24,3,3,"Hall, DL",669084,Left,MIL,MIL,"Alonso, Pete",624413,Right,NYM,NYM,1,Bottom,1,0,2,Curveball,CB,HitByPitch,NA,NA,NA,0,0,79.3,2457,311,5.58,-3.09,6.9,-9.12,10.68,1.86,1.53,-9.049409182,5.884760998,NA,NA,NA,661388,661388,NYM,NYM,MIL,MIL,745850,R,2024,Breaking Ball,BRK,Two Strikes,FALSE,FALSE,FALSE,FoulBall,Fastball,Fastball,745850_1_3_669084_624413,Hit By Pitch,0.493389167
2024-745850-32,32,3/30/24,4,1,"Hall, DL",669084,Left,MIL,MIL,"Taylor, Tyrone",621438,Right,NYM,NYM,1,Bottom,1,0,0,ChangeUp,CH,BallCalled,NA,NA,NA,NA,0,83.5,1974,122,5.4,-3.48,7,7.32,-14.52,1.6,-0.49,-7.297638701,1.919581726,NA,NA,NA,661388,661388,NYM,NYM,MIL,MIL,745850,R,2024,Offspeed,OFF,F-Pitch,TRUE,FALSE,FALSE,NA,NA,NA,745850_1_4_669084_621438,NA,0.04620961
